Filename,Cluster
6.405587774114024_39.85032916309602_6.4505035383200005_39.8802730059.png,1
6.91411343602_35.64529347130199_6.91411343602_35.630321549899996.png,1
8.974778920698009_38.80359729020398_8.989750842100001_38.7736534474.png,0
9.190851605836015_42.4952242973_9.220795448639999_42.4952242973.png,1
8.496407131684023_39.28686091250199_8.54132289589_39.2718889911.png,1
8.993630640216017_38.799220630002_9.02357448302_38.7842487086.png,1
10.222066787805977_38.927863918094026_10.1771510236_38.9727796823.png,1
9.55408199803_39.54939486369602_9.55408199803_39.5793387065.png,1
13.777367487396015_39.56885015269602_13.8073113302_39.5987939955.png,1
13.468483220598008_39.482327959398006_13.483455142_39.4972998808.png,1
6.616996490519999_37.469653618298004_6.616996490519999_37.4846255397.png,1
14.222762682596015_39.69580596760598_14.252706525399999_39.6508902034.png,1
9.015256678350001_38.85866561410597_9.015256678350001_38.8137498499.png,0
8.990172087196015_38.77829512640597_9.02011593_38.7333793622.png,1
7.7316959887699985_37.48361187929801_7.7316959887699985_37.498583800700004.png,1
13.831370390003984_39.64819680970398_13.8014265472_39.6182529669.png,1
14.139704663403984_38.4738350524_14.1097608206_38.4738350524.png,1
8.103394912781992_39.079840962805974_8.08842299138_39.0349251986.png,0
14.085623632798008_38.31105749840597_14.1005955542_38.2661417342.png,0
9.774110649601992_37.01487020619602_9.7591387282_37.044814049.png,1
9.647896529415977_42.03541329419403_9.60298076521_42.080329058400004.png,1
10.513181862198008_39.78316297939602_10.5281537836_39.8131068222.png,1
9.60298076521_42.05038521559602_9.60298076521_42.080329058400004.png,1
9.023186884888007_43.223782951596014_9.03815880629_43.253726794399995.png,0
9.548836647723984_40.177558798102_9.51889280492_40.162586876700004.png,0
9.699312122004024_34.80226881250199_9.74422788621_34.7872968911.png,0
5.243446342213984_40.00520958229602_5.21350249941_40.0351534251.png,1
12.6083646798_37.42303639539403_12.6083646798_37.4679521596.png,1
11.644250718296014_40.110504796902_11.674194561099998_40.095532875500005.png,1
10.928657290798007_39.96052135059403_10.9436292122_40.0054371148.png,1
13.190041969394022_39.13349541969602_13.234957733599998_39.1634392625.png,1
9.032595027628007_38.67332647309403_9.04756694903_38.718242237300004.png,1
8.53392278709_39.223355202794025_8.53392278709_39.268270967.png,1
6.1363086863100005_36.646032504296016_6.1363086863100005_36.6759763471.png,1
9.610096697271992_41.84334278119801_9.59512477587_41.858314702600005.png,1
7.005537737884024_38.51141757180398_7.05045350209_38.481473729.png,1
10.140540424901992_39.30233440679801_10.1255685035_39.317306328200004.png,1
7.103620107505977_37.1757686301_7.0587043433000005_37.1757686301.png,1
6.956483764285976_38.52662356500598_6.91156800008_38.4817078008.png,1
9.541827163501992_41.91093489419602_9.5268552421_41.940878737.png,1
7.643188415048008_38.139547679605975_7.65816033645_38.0946319154.png,0
9.60099488598_41.89829009870597_9.60099488598_41.853374334499996.png,0
4.86583201441_39.20361729020398_4.86583201441_39.1736734474.png,0
8.104364545254027_38.78570234899403_8.149280309460003_38.8306181132.png,1
